Year,Athlete,Country/State,Time,Notes,State
1977,Sharon Rahn,United States,03:48:51,,IL
1978,Susan Shapiro,United States,03:52:35,,CA
1979,Sheryl Bair,United States,03:27:56,,CA
1980,Sharon Limpert,United States,02:49:04,,MN
1981,Candace CableBrookes,United States,02:38:41,,NV
1982,Candace CableBrookes,United States,02:12:43,2nd victory,NV
1983,Sherry Ramsey,United States,02:27:07,,CO
1984,Sherry Ramsey,United States,02:56:51,2nd victory,CO
1985,Candace CableBrookes,United States,02:05:26,3rd victory,CA
1986,Candace CableBrookes,United States,02:09:28,4th victory,CA
1987,Candace CableBrookes,United States,02:19:55,5th victory,CA
1988,Candace CableBrookes,United States,02:10:44,6th victory,CA
1989,Connie Hansen,Denmark,01:50:06,,
1990,Jean Driscoll,United States,01:43:17,,IL
1991,Jean Driscoll,United States,01:42:42,2nd victory,IL
1992,Jean Driscoll,United States,01:36:52,3rd victory,IL
1993,Jean Driscoll,United States,01:34:50,4th victory,IL
1994,Jean Driscoll,United States,01:34:22,5th victory,IL
1995,Jean Driscoll,United States,01:40:42,6th victory,IL
1996,Jean Driscoll,United States,01:52:56,7th victory,IL
1997,Louise Sauvage,Australia,01:54:28,,
1998,Louise Sauvage,Australia,01:41:19,2nd victory,
1999,Louise Sauvage,Australia,01:42:23,3rd victory,
2000,Jean Driscoll,United States,02:00:52,8th victory,IL
2001,Louise Sauvage,Australia,01:53:54,4th victory,
2002,Edith Hunkeler,Switzerland,01:45:57,,
2003,Christina Ripp,United States,01:54:47,,IL
2004,Cheri Blauwet,United States,01:39:53,,CA
2005,Cheri Blauwet,United States,01:47:45,2nd victory,CA
2006,Edith Hunkeler,Switzerland,01:43:42,2nd victory,
2007,Wakako Tsuchida,Japan,01:53:30,,
2008,Wakako Tsuchida,Japan,01:48:32,2nd victory,
2009,Wakako Tsuchida,Japan,01:54:37,3rd victory,
2010,Wakako Tsuchida,Japan,01:43:32,4th victory,
2011,Wakako Tsuchida,Japan,01:34:06,5th victory,
2012,Shirley Reilly,United States,01:37:36,,AZ
2013,Tatyana McFadden,United States,01:45:25,,MD
2014,Tatyana McFadden,United States,01:35:06,2nd victory,MD
2015,Tatyana McFadden,United States,01:52:54,3rd victory,MD
2016,Tatyana McFadden,United States,01:42:16,4th victory,MD
2017,Manuela Sch,Switzerland,01:28:17,,
2018,Tatyana McFadden,United States,02:04:39,5th victory,MD
