Year,Winner,Country,Time,Notes
2000,Kamel Ayari,Tunisia,01:53:50,[1]
2001,Saúl Mendoza,Mexico,01:39:29,Course record[2]
2002,Krige Schabort,South Africa,01:38:27,Course record[3]
2003,Krige Schabort,South Africa,01:32:19,"Course record, 2nd victory[4]"
2004,Saúl Mendoza,Mexico,01:33:16,2nd victory[5]
2005,Ernst van Dyk,South Africa,01:31:11,Course record[6]
2006,Kurt Fearnley,Australia,01:29:22,Course record[7]
2007,Kurt Fearnley,Australia,01:33:58,2nd victory[8]
2008,Kurt Fearnley,Australia,01:44:51,3rd victory[9]
2009,Kurt Fearnley,Australia,01:35:58,4th victory
2010,David Weir,United Kingdom,01:37:29,
2011,Masazumi Soejima,Japan,01:31:41,
2013,Marcel Hug,Switzerland,01:40:14,
2014,Kurt Fearnley,Australia,01:30:55,5th victory (Note that the course was shortened by 3 miles at the start)
2015,Ernst van Dyk,South Africa,01:30:54,2nd victory
2016,Marcel Hug,Switzerland,01:35:44,2nd victory
2017,Marcel Hug,Switzerland,01:37:17,3rd victory
